,rd_2,rd_32,rd_128,rd_512,rd_1024
377,3,5,2,2,5
378,3,4,3,3,1
379,3,4,2,5,4
380,4,2,1,1,2
381,4,2,4,2,3
382,2,3,2,4,3
383,4,2,2,3,5
384,2,3,1,5,5
385,1,2,5,2,1
386,2,5,5,1,3
387,2,2,1,2,4
388,3,2,4,1,5
389,5,1,4,1,1
390,5,1,3,1,4
391,1,4,3,4,2
392,5,1,5,4,1
393,4,4,3,1,4
394,3,4,4,4,5
395,4,5,1,4,2
396,4,1,4,5,3
397,3,5,3,1,4
398,2,5,1,1,5
399,3,1,3,1,5
400,2,3,5,3,5
401,1,2,4,3,3
402,2,2,5,4,4
403,2,1,5,5,3
404,5,2,5,1,5
405,2,2,5,3,2
406,5,5,5,4,2
407,2,3,5,1,4
408,4,5,1,5,5
409,4,4,3,2,1
410,5,4,3,1,5
411,1,3,4,4,4
412,4,4,4,1,1
413,5,4,5,1,3
414,3,5,4,4,1
415,5,1,4,4,3
416,4,3,5,4,1
417,2,5,4,3,4
418,1,3,3,5,3
419,3,4,1,4,2
420,5,5,5,3,3
421,2,5,1,1,5
422,5,1,1,4,1
423,4,2,2,2,5
424,5,2,5,3,5
425,3,5,2,2,4
426,1,2,5,4,5
427,2,2,1,4,2
428,5,2,1,1,5
429,2,5,5,4,3
430,4,2,5,3,5
431,2,4,1,1,5
432,3,1,4,3,5
433,5,1,5,4,1
434,5,1,2,2,3
435,4,3,4,2,2
436,2,4,5,1,1
437,3,5,1,3,4
438,4,4,4,4,3
439,3,5,5,2,5
440,3,3,3,2,5
441,2,3,3,1,2
442,5,3,1,3,5
443,4,3,2,2,5
444,4,1,3,2,3
445,1,5,3,3,3
446,5,3,3,2,4
447,1,5,2,1,4
448,1,5,4,4,4
449,4,1,4,2,3
450,5,1,5,1,2
451,3,1,4,5,4
452,1,3,3,3,2
453,2,2,5,2,5
454,5,3,2,5,5
455,1,4,1,3,4
456,1,5,1,5,4
457,2,3,3,2,1
458,1,2,5,1,2
459,1,3,1,5,2
460,3,1,1,4,1
461,5,5,5,4,5
462,2,5,2,5,3
463,4,5,4,3,2
464,1,2,3,1,3
465,1,5,1,1,5
466,5,5,4,5,3
467,4,3,1,4,4
468,1,5,3,4,2
469,3,3,3,2,1
470,1,5,5,4,2
471,3,1,5,5,3
472,1,5,4,3,5
473,3,5,4,4,5
474,5,5,3,5,2
475,4,1,2,3,1
476,1,4,5,4,2
477,2,3,2,5,3
478,5,4,3,4,2
479,2,2,1,4,3
480,3,5,2,4,2
481,2,5,4,3,5
482,4,4,2,5,3
483,4,1,4,2,4
484,1,3,2,3,4
485,5,3,4,3,4
486,3,3,5,4,3
487,3,4,5,3,3
488,1,5,1,1,3
489,4,5,1,5,3
490,3,2,3,1,5
491,5,5,3,2,2
492,1,2,1,5,5
493,5,4,1,4,1
494,1,2,5,3,2
495,4,1,4,3,4
496,2,5,1,1,5
497,5,2,3,5,1
498,2,2,1,2,2
499,4,5,3,2,2
500,3,5,3,2,5
501,1,3,1,3,4
502,1,3,5,3,3
503,1,5,4,5,2
504,2,2,5,3,4
505,1,2,5,1,3
506,5,3,4,4,3
507,4,2,2,3,5
508,2,1,4,5,1
509,5,4,3,4,1
510,2,5,3,4,5
511,2,4,3,3,4
512,2,3,5,1,2
513,3,4,3,1,3
514,4,5,4,4,1
515,1,5,4,5,2
516,4,3,2,3,1
517,5,1,4,2,5
518,3,4,2,1,5
519,2,3,2,5,3
520,4,2,3,5,4
521,3,1,3,4,2
522,2,3,1,1,1
523,3,1,2,5,2
524,1,4,3,5,3
525,2,1,4,3,3
526,1,4,3,2,3
527,5,2,5,3,5
528,5,3,5,1,3
529,1,3,1,5,4
530,2,3,2,3,5
531,5,2,1,3,5
532,1,3,4,3,5
533,4,2,1,4,1
534,5,2,5,5,5
535,3,3,5,3,4
536,4,5,5,1,3
537,4,1,2,5,1
538,1,3,5,4,4
539,5,3,1,2,5
540,1,4,5,4,5
541,2,2,1,4,1
542,2,1,4,1,1
543,3,3,3,3,3
544,2,2,3,2,5
545,3,4,1,5,2
546,2,3,4,3,1
547,1,2,1,2,2
548,5,2,2,5,2
549,3,2,1,1,4
550,3,4,2,5,5
551,1,3,4,5,5
552,1,2,2,1,2
553,3,5,4,1,2
554,5,5,5,5,1
555,3,5,5,5,1
556,1,3,2,2,5
557,1,3,5,3,1
558,2,1,1,2,2
559,4,3,1,5,5
560,2,2,5,5,5
561,4,3,4,5,4
562,5,2,2,3,4
563,1,5,1,4,2
564,2,5,4,2,2
565,4,3,1,3,4
566,4,3,4,5,3
567,3,2,3,4,4
568,2,3,1,3,5
569,4,2,4,2,4
570,1,3,2,2,4
571,1,1,2,5,5
572,3,1,2,4,3
573,2,5,4,3,3
574,3,5,4,1,4
575,2,2,2,4,1
576,2,4,5,2,4
577,2,5,4,5,5
578,4,4,1,5,1
579,2,2,1,4,4
580,1,5,1,1,1
581,1,2,2,1,5
582,2,4,4,1,3
583,4,1,1,3,1
584,3,4,5,4,1
585,4,5,1,1,2
586,1,5,3,4,5
587,5,4,1,1,2
588,4,3,4,3,1
589,3,2,1,5,3
590,3,4,5,2,5
591,4,2,1,2,5
592,4,3,3,2,3
593,3,3,1,5,5
594,5,5,4,1,1
595,3,4,2,1,2
596,3,5,5,4,4
597,3,3,3,1,1
598,2,2,1,1,5
599,1,3,4,2,4
600,1,1,1,1,3
601,1,5,2,1,5
602,4,4,2,5,5
603,2,1,5,1,3
604,5,3,4,4,5
605,5,1,2,2,1
606,1,1,2,4,5
607,5,2,1,5,4
608,1,2,3,1,5
609,5,5,4,4,5
610,1,2,2,5,3
611,1,2,5,1,4
612,2,5,1,4,3
613,5,1,2,4,5
614,1,3,5,2,3
615,1,1,3,3,1
616,4,4,4,2,3
617,4,4,3,1,2
618,3,1,5,4,4
619,1,1,2,4,2
620,4,2,2,3,1
621,3,1,4,2,5
622,5,4,5,5,1
623,4,3,1,1,1
624,2,1,3,5,2
625,1,1,5,2,1
626,4,5,4,1,5
627,1,4,2,4,4
628,4,3,1,2,3
629,4,5,1,1,4
630,5,3,3,2,1
631,4,3,2,1,1
632,4,4,5,3,2
633,2,4,5,3,5
634,5,4,2,4,3
635,5,4,3,2,4
636,4,4,3,5,3
637,4,2,1,2,2
638,4,2,1,1,4
639,4,4,4,4,1
640,3,3,1,4,2
641,3,4,2,1,5
642,2,3,1,3,2
643,1,3,3,5,4
644,2,2,2,2,4
645,1,5,1,2,5
646,4,2,3,2,2
647,5,5,1,4,3
648,5,4,1,5,4
649,2,3,2,3,5
650,5,5,4,5,5
651,1,2,2,2,1
652,2,1,2,3,1
653,3,2,4,1,5
654,3,3,3,5,2
655,5,4,4,5,2
656,4,3,4,3,5
657,4,4,3,2,1
658,3,4,2,1,5
659,2,2,5,1,3
660,4,1,5,1,3
661,5,3,4,2,4
662,1,3,4,1,2
663,1,2,5,5,2
664,2,2,4,2,2
665,2,5,3,1,1
666,2,1,4,1,3
667,3,1,4,1,3
668,4,2,3,5,5
669,4,5,4,1,4
670,5,4,3,4,4
671,1,3,5,5,2
672,3,1,5,4,5
673,4,1,4,1,5
674,5,4,1,1,2
675,1,3,5,1,2
676,5,5,3,4,5
677,1,5,1,2,4
678,2,3,4,1,4
679,5,3,3,5,5
680,4,4,2,3,2
681,1,1,3,2,2
682,3,2,5,5,2
683,4,3,4,4,4
684,3,4,5,4,3
685,4,3,1,1,1
686,5,1,3,2,2
687,4,2,5,1,3
688,2,3,3,5,4
689,5,1,3,2,2
690,1,5,4,3,2
691,1,4,1,3,1
692,3,3,4,3,5
693,4,4,3,1,3
694,2,3,5,3,1
695,1,3,4,5,1
696,1,2,1,2,5
697,3,1,4,2,3
698,5,2,5,4,4
699,3,3,2,5,1
700,4,3,5,3,5
701,3,1,5,5,2
702,4,4,2,5,5
703,5,2,1,5,4
704,3,3,4,4,3
705,3,4,4,3,4
706,4,2,4,4,3
707,3,2,5,2,5
708,3,5,2,2,4
709,5,1,2,2,5
710,4,4,2,5,1
711,1,2,3,4,5
712,4,3,3,4,2
713,4,1,5,3,2
714,5,5,5,2,5
715,1,3,5,4,2
716,3,5,4,3,2
717,3,2,2,5,2
718,5,5,1,5,4
719,3,5,2,1,2
720,3,3,4,3,3
721,1,1,2,5,4
722,5,5,2,2,3
723,5,1,3,2,3
724,1,4,5,2,5
725,5,1,1,4,5
726,4,1,4,3,3
727,3,5,4,2,1
728,2,2,4,2,2
729,1,2,5,5,1
730,5,1,1,2,3
731,2,1,1,2,2
732,2,1,2,2,2
733,4,4,4,1,1
734,2,1,3,1,4
735,2,1,4,3,3
736,2,5,4,1,1
737,3,1,3,5,5
738,1,4,4,2,3
739,2,5,1,2,5
740,4,4,1,1,2
741,3,4,1,5,2
742,4,2,3,4,2
743,3,4,4,2,1
744,3,3,3,4,2
745,2,1,2,5,2
746,5,4,1,5,2
747,4,4,4,5,3
748,2,2,2,2,1
749,4,1,2,3,3
750,4,3,3,5,3
751,5,5,1,1,2
752,3,4,5,4,3
753,5,1,2,3,4
754,5,2,4,1,4
755,3,3,4,5,5
756,2,2,2,5,4
757,2,3,4,5,5
758,5,3,4,5,2
759,5,2,1,3,2
760,5,5,1,5,4
761,3,1,5,1,4
762,5,5,2,1,4
763,1,4,3,1,5
764,5,2,4,3,1
765,1,3,2,5,2
766,4,1,5,3,5
767,5,5,1,3,1
768,1,4,2,4,2
769,5,4,1,3,1
770,1,5,4,2,1
771,1,3,2,3,4
772,5,5,5,1,5
773,3,4,3,5,1
774,5,5,1,4,3
775,4,5,4,3,4
776,1,2,4,3,5
777,4,1,5,4,5
778,1,4,5,3,3
779,3,3,1,2,1
780,4,4,1,1,2
781,2,3,5,2,2
782,3,4,2,2,3
783,4,3,1,2,3
784,2,2,2,5,1
785,5,3,4,4,5
786,2,4,4,2,1
787,2,2,3,4,3
788,3,3,5,3,4
789,3,2,2,1,4
790,2,1,2,1,5
791,5,1,4,2,4
792,2,5,3,3,5
793,4,1,3,4,3
794,2,4,4,4,5
795,1,3,3,3,2
796,3,4,5,1,1
797,4,1,4,5,5
798,1,3,5,1,5
799,1,2,3,4,1
800,5,4,2,1,5
801,3,1,3,4,4
802,2,4,2,4,1
803,2,2,1,1,5
804,5,5,5,4,2
805,5,2,3,5,3
806,4,3,1,1,1
807,2,2,3,3,3
808,5,5,1,3,1
809,2,5,1,1,2
810,2,2,3,1,4
811,4,5,4,5,2
812,4,2,5,3,5
813,3,4,3,2,2
814,2,3,4,4,5
815,4,1,3,5,2
816,3,4,3,1,5
817,5,3,4,1,4
818,4,2,2,5,2
819,1,3,3,2,5
820,5,4,3,5,2
821,2,2,3,2,3
822,5,2,1,1,1
823,2,5,3,2,1
824,3,3,5,3,1
825,1,3,3,1,2
826,1,4,5,3,2
827,2,1,2,4,2
828,5,3,4,5,1
829,2,3,1,4,5
830,5,4,2,4,1
831,5,3,5,4,5
832,4,2,3,4,5
833,4,1,2,1,4
834,1,3,1,1,5
835,2,1,3,2,4
836,4,4,1,2,3
837,3,3,3,4,1
838,5,3,4,1,3
839,4,1,1,1,2
840,1,2,1,3,1
841,5,5,5,1,1
842,1,3,3,5,4
843,3,4,5,1,4
844,2,2,3,3,4
845,4,2,4,1,1
846,1,1,1,4,5
847,1,1,5,4,5
848,3,3,5,3,1
849,1,4,1,2,3
850,5,1,4,1,3
851,2,1,1,4,3
852,2,4,3,2,3
853,2,5,2,4,2
854,4,4,4,1,1
855,5,3,5,3,2
856,1,4,1,2,4
857,4,1,3,5,5
858,5,3,4,2,1
859,3,4,5,2,3
860,4,1,3,1,1
861,1,5,1,2,2
862,1,1,2,3,2
863,3,4,2,1,4
864,4,4,1,5,1
865,5,3,1,1,5
866,4,5,1,3,4
867,5,3,3,5,5
868,5,5,5,3,4
869,4,3,1,3,3
870,3,4,2,2,1
871,2,3,4,5,1
872,5,3,3,3,5
873,3,5,1,2,2
874,1,4,2,2,3
875,5,1,3,2,2
876,5,1,3,1,1
877,1,1,2,1,3
878,4,2,5,4,3
879,4,4,3,1,5
880,2,5,2,5,1
881,3,5,4,5,4
882,1,3,5,2,2
883,3,4,3,4,5
884,3,1,4,3,3
885,1,5,5,2,4
886,1,4,1,1,2
887,2,3,1,4,5
888,1,4,5,4,2
889,4,1,1,3,1
890,5,2,4,4,5
891,1,3,2,4,2
892,5,5,1,5,4
893,4,5,1,1,4
894,5,1,1,2,4
895,4,4,2,3,1
896,5,5,4,5,1
897,3,3,3,5,4
898,5,3,5,4,3
899,4,4,3,4,2
900,4,3,1,2,4
901,3,3,1,3,1
902,5,5,3,4,1
903,3,4,2,5,3
904,5,4,4,2,3
905,1,2,5,5,4
906,5,2,2,5,2
907,3,5,1,3,2
908,5,2,5,1,2
909,3,2,4,1,5
910,4,2,4,3,3
911,3,1,3,5,3
912,5,3,3,5,1
913,4,5,3,3,5
914,1,3,1,2,3
915,3,5,1,3,2
916,1,4,1,1,5
917,1,1,1,2,3
918,5,1,3,3,1
919,5,4,4,4,4
920,1,2,3,5,2
921,1,2,4,2,1
922,3,5,3,5,2
923,1,5,5,4,2
924,5,4,1,2,4
925,3,2,2,2,4
926,3,3,3,3,3
927,4,3,3,5,4
928,3,1,4,1,4
929,3,4,2,5,3
930,1,5,3,3,2
931,3,1,3,4,2
932,3,4,1,1,3
933,4,4,1,2,1
934,5,3,3,4,5
935,5,1,3,5,2
936,4,5,5,3,2
937,5,1,4,3,4
938,5,1,1,3,1
939,5,4,1,2,3
940,1,3,5,3,4
941,2,4,3,4,5
942,5,1,1,1,1
943,1,5,2,2,2
944,2,2,4,5,3
945,2,3,4,1,1
946,3,1,3,2,5
947,5,4,3,2,5
948,3,1,3,4,3
949,3,2,1,4,4
950,5,1,4,2,1
951,2,4,2,2,2
952,3,1,3,3,4
953,1,3,3,5,4
954,3,1,5,5,1
955,3,1,2,1,3
956,2,5,2,2,4
957,1,2,3,3,5
958,4,3,2,5,3
959,4,1,1,5,3
960,2,1,5,5,4
961,3,3,2,1,2
962,4,3,1,4,4
963,3,4,4,4,4
964,2,5,4,2,1
965,4,3,2,3,2
966,2,3,2,1,1
967,4,3,4,4,2
968,3,4,3,2,3
969,3,5,4,2,5
970,4,4,3,2,3
971,4,1,3,4,3
972,5,5,5,4,4
973,4,1,1,5,3
974,5,1,4,4,3
975,5,5,1,1,1
976,5,4,4,4,4
977,1,4,4,4,1
978,3,2,1,5,5
979,4,4,4,2,1
980,2,1,4,4,1
981,1,5,4,1,3
982,3,2,5,3,3
983,3,1,2,1,1
984,2,1,2,4,1
985,1,3,2,1,1
986,3,3,3,4,1
987,5,1,4,2,5
988,4,5,1,4,4
989,5,1,5,4,2
990,1,4,4,3,2
991,2,3,5,3,2
992,4,3,3,5,1
993,3,4,2,3,2
994,3,5,5,3,1
995,4,2,1,5,1
996,1,4,2,2,3
997,3,5,2,2,1
998,2,4,4,1,5
999,2,3,5,5,4
1000,5,4,1,5,4
1001,4,2,2,5,5
1002,4,3,5,4,5
1003,2,4,1,3,5
1004,5,4,2,3,4
1005,5,4,5,1,3
1006,2,1,5,4,2
1007,3,3,3,4,4
1008,1,2,5,3,5
1009,4,5,1,5,2
1010,4,1,4,5,3
1011,5,4,1,1,4
1012,4,3,5,1,5
1013,5,4,2,1,2
1014,1,5,1,1,1
1015,4,5,1,5,3
1016,4,3,1,1,2
1017,5,1,1,1,3
1018,2,3,5,3,1
1019,5,5,3,2,2
1020,4,4,2,4,4
1021,4,2,5,1,2
1022,5,1,5,3,5
1023,2,4,4,5,4
1024,5,1,1,5,4
1025,2,1,2,4,2
1026,2,4,5,3,4
1027,4,3,2,2,3
1028,4,5,5,3,4
1029,4,4,1,3,2
1030,5,3,4,2,4
1031,1,5,2,5,4
1032,5,1,4,3,2
1033,4,5,1,1,5
1034,3,1,4,4,1
1035,5,1,2,4,1
1036,3,1,5,1,4
1037,1,2,2,5,4
1038,4,5,5,4,5
1039,1,4,5,1,1
1040,3,3,2,2,2
1041,4,1,5,1,4
1042,3,4,1,5,5
1043,3,3,3,2,1
1044,2,1,2,2,3
1045,5,1,1,3,4
1046,2,1,2,2,3
1047,4,1,2,3,4
1048,1,4,3,3,2
1049,4,5,2,4,5
1050,5,5,4,5,3
1051,2,1,1,4,5
1052,4,1,4,3,3
1053,3,5,5,3,3
1054,1,1,4,3,3
1055,3,4,5,3,5
1056,1,1,5,2,2
1057,5,3,4,4,3
1058,4,3,2,5,2
1059,4,3,3,5,3
1060,5,1,5,3,5
1061,2,4,4,5,4
1062,1,2,3,1,1
1063,4,1,5,1,3
1064,4,2,5,2,3
1065,4,3,4,5,5
1066,1,5,4,1,3
1067,2,3,5,2,3
1068,1,4,5,4,3
1069,5,2,2,1,3
1070,5,4,4,4,1
1071,5,2,1,5,5
1072,3,2,1,3,3
1073,5,2,5,4,1
1074,5,2,4,1,4
1075,5,2,2,3,1
1076,4,3,2,2,5
1077,2,4,5,1,1
1078,1,1,2,1,1
1079,3,3,3,1,3
1080,5,1,5,5,1
1081,2,2,5,3,4
1082,2,4,2,4,5
1083,5,5,5,5,3
1084,2,3,3,4,3
1085,5,2,5,5,5
1086,3,5,2,5,4
1087,5,3,1,2,2
1088,4,2,3,5,5
1089,2,1,2,5,3
1090,2,2,5,5,2
1091,1,5,1,2,5
1092,1,1,2,1,4
1093,4,5,3,1,5
1094,3,3,4,3,3
1095,3,5,1,2,1
1096,1,4,3,4,1
1097,1,3,4,5,2
1098,1,2,1,3,1
1099,5,4,5,2,4
1100,4,2,4,5,3
1101,3,1,5,5,4
1102,4,3,4,5,1
1103,5,2,4,4,4
1104,2,4,5,4,5
1105,3,1,1,3,3
1106,5,3,2,1,4
1107,5,5,5,2,5
1108,1,3,5,5,3
1109,5,2,4,2,1
1110,5,1,2,3,4
1111,2,2,2,1,5
1112,5,5,2,5,3
1113,3,1,1,5,3
1114,1,5,4,4,4
1115,3,1,1,5,3
1116,3,2,5,1,4
1117,5,2,3,1,2
1118,1,3,3,2,4
1119,5,2,4,2,3
1120,2,2,3,5,5
1121,3,3,2,3,4
1122,4,2,4,4,4
1123,1,3,1,2,4
1124,2,4,1,4,5
1125,3,2,2,1,1
1126,5,3,1,4,3
1127,2,3,4,3,5
1128,5,2,5,1,3
1129,1,5,1,1,2
1130,3,2,2,5,2
1131,2,1,5,4,4
1132,1,4,1,1,5
1133,2,2,3,3,4
1134,3,2,5,3,2
1135,4,4,4,5,2
1136,4,4,5,5,5
1137,2,1,5,4,5
1138,4,5,2,5,4
1139,2,5,3,4,2
1140,2,5,1,2,5
1141,4,1,5,1,5
1142,2,3,1,1,4
1143,3,5,5,1,5
1144,1,3,5,5,1
1145,2,1,4,5,5
1146,1,1,3,3,2
1147,4,1,3,3,5
1148,3,4,4,5,2
