,rd_2,rd_32,rd_128,rd_512,rd_1024
962,4,2,4,4,5
963,4,2,1,4,1
964,3,5,3,2,3
965,4,2,4,2,1
966,3,2,5,2,4
967,4,2,1,3,4
968,2,5,4,2,2
969,5,5,1,3,5
970,2,5,5,4,3
971,3,2,2,1,5
972,5,2,5,4,4
973,5,1,3,2,2
974,1,5,1,5,1
975,2,5,4,2,1
976,5,3,5,4,1
977,3,4,3,2,2
978,2,1,4,5,5
979,4,1,2,5,2
980,2,2,2,3,3
981,2,1,5,2,4
982,1,2,5,1,3
983,3,3,1,1,2
984,4,4,1,4,1
985,5,4,1,2,5
986,2,4,1,5,4
987,5,4,1,4,5
988,4,5,4,4,3
989,2,4,3,3,5
990,1,1,1,3,1
991,2,3,2,1,5
992,4,3,3,4,1
993,2,3,1,2,3
994,1,4,5,3,1
995,1,2,5,5,2
996,2,3,2,3,2
997,4,5,1,3,2
998,2,4,4,2,2
999,1,3,5,3,4
1000,4,4,4,5,3
1001,4,1,1,5,2
1002,4,4,5,1,5
1003,4,3,5,2,4
1004,5,2,1,4,3
1005,1,2,5,3,2
1006,4,3,1,2,5
1007,1,5,4,1,3
1008,1,1,5,2,5
1009,1,5,4,5,4
1010,1,3,1,5,5
1011,5,5,3,2,1
1012,4,1,4,4,3
1013,2,1,4,5,4
1014,5,5,2,5,3
1015,5,4,1,1,3
1016,3,2,4,4,4
1017,5,4,4,4,1
1018,1,4,5,3,3
1019,1,5,5,5,3
1020,3,1,1,1,2
1021,1,2,5,2,5
1022,1,1,1,1,3
1023,2,5,1,5,2
1024,5,4,3,5,3
1025,2,1,1,2,2
1026,4,2,1,4,3
1027,1,1,2,2,1
1028,2,5,5,1,3
1029,2,5,1,4,4
1030,2,3,4,3,4
1031,2,5,1,1,3
1032,2,1,5,2,1
1033,5,1,1,3,5
1034,3,2,1,1,2
1035,1,5,3,1,1
1036,2,1,3,4,1
1037,3,4,1,2,3
1038,5,2,2,2,1
1039,3,5,5,3,2
1040,1,4,3,3,2
1041,4,3,5,2,2
1042,3,1,1,5,5
1043,5,2,2,5,3
1044,3,3,4,2,2
1045,4,3,4,2,4
1046,2,2,5,1,2
1047,3,1,1,4,5
1048,4,2,4,2,4
1049,4,1,1,2,1
1050,5,4,2,4,3
1051,1,5,1,3,3
1052,4,4,3,2,1
1053,2,1,2,1,4
1054,1,2,1,2,2
1055,1,2,1,5,5
1056,5,3,1,4,3
1057,1,2,2,5,3
1058,3,3,1,5,1
1059,5,3,2,3,5
1060,1,3,4,4,5
1061,3,5,3,5,4
1062,1,2,3,2,2
1063,3,4,5,3,2
1064,5,4,1,1,5
1065,4,1,5,1,2
1066,5,4,4,1,2
1067,4,4,4,2,1
1068,2,2,2,4,1
1069,3,3,4,4,3
1070,1,3,5,4,2
1071,5,1,1,1,5
1072,2,1,2,1,3
1073,4,4,4,1,4
1074,5,3,3,1,5
1075,5,1,2,1,2
1076,2,1,2,4,3
1077,3,4,5,1,2
1078,1,4,4,3,5
1079,3,4,4,1,2
1080,5,4,5,5,4
1081,4,1,4,5,5
1082,5,1,1,1,4
1083,5,2,1,5,5
1084,4,1,4,4,3
1085,3,1,4,4,1
1086,1,5,1,2,5
1087,1,4,2,4,3
1088,1,4,1,5,2
1089,5,3,2,5,3
1090,3,2,5,3,5
1091,5,3,3,5,4
1092,5,4,4,5,1
1093,3,2,1,5,5
1094,1,5,2,3,3
1095,2,5,5,3,4
1096,2,2,2,2,2
1097,3,3,3,3,1
1098,1,2,1,5,3
1099,5,1,5,3,2
1100,4,2,3,1,2
1101,1,3,4,3,2
1102,1,3,2,4,4
1103,4,3,1,2,4
1104,4,4,2,3,5
1105,3,2,4,4,3
1106,5,1,3,4,3
1107,1,4,5,3,1
1108,2,3,3,2,1
1109,2,3,3,1,4
1110,1,5,2,2,2
1111,5,4,2,4,3
1112,2,3,1,4,4
1113,5,5,4,3,4
1114,5,3,5,5,1
1115,3,1,3,1,4
1116,2,1,4,4,5
1117,5,2,3,2,1
1118,1,4,2,1,5
1119,5,4,4,4,2
1120,4,4,3,5,4
1121,1,4,2,2,5
1122,4,3,5,4,3
1123,5,3,2,5,1
1124,4,1,1,5,4
1125,5,5,3,1,2
1126,2,5,2,5,5
1127,3,2,5,2,5
