,Group
393,5(1678)
394,4(2003)
395,2(1695)
396,5(1678)
397,3(944)
398,3(944)
399,5(1678)
400,4(2003)
401,5(1678)
402,1(1511)
403,1(1511)
404,4(2003)
405,2(1695)
406,4(2003)
407,4(2003)
408,4(2003)
409,1(1511)
410,1(1511)
411,4(2003)
412,1(1511)
413,5(1678)
414,3(944)
415,4(2003)
416,2(1695)
417,3(944)
418,5(1678)
419,1(1511)
420,2(1695)
421,4(2003)
422,4(2003)
423,4(2003)
424,4(2003)
425,4(2003)
426,4(2003)
427,4(2003)
428,2(1695)
429,5(1678)
430,3(944)
431,5(1678)
432,1(1511)
433,1(1511)
434,4(2003)
435,5(1678)
436,2(1695)
437,1(1511)
438,1(1511)
439,4(2003)
440,4(2003)
441,5(1678)
442,4(2003)
443,4(2003)
444,2(1695)
445,2(1695)
446,1(1511)
447,3(944)
448,4(2003)
449,1(1511)
450,5(1678)
451,1(1511)
452,5(1678)
453,1(1511)
454,5(1678)
455,4(2003)
456,3(944)
457,2(1695)
458,4(2003)
459,1(1511)
460,3(944)
461,2(1695)
462,3(944)
463,3(944)
464,1(1511)
465,3(944)
466,2(1695)
467,3(944)
468,1(1511)
469,4(2003)
470,1(1511)
471,4(2003)
472,2(1695)
473,1(1511)
474,2(1695)
475,2(1695)
476,2(1695)
477,4(2003)
478,5(1678)
479,5(1678)
480,2(1695)
481,5(1678)
482,5(1678)
483,4(2003)
484,5(1678)
485,5(1678)
486,1(1511)
487,4(2003)
488,5(1678)
489,1(1511)
490,4(2003)
491,5(1678)
492,4(2003)
493,2(1695)
494,2(1695)
495,4(2003)
496,1(1511)
497,4(2003)
498,3(944)
499,2(1695)
500,3(944)
501,4(2003)
502,2(1695)
503,3(944)
504,1(1511)
505,2(1695)
506,4(2003)
507,3(944)
508,1(1511)
509,3(944)
510,4(2003)
511,5(1678)
512,5(1678)
513,4(2003)
514,2(1695)
515,4(2003)
516,2(1695)
517,4(2003)
518,1(1511)
519,4(2003)
520,2(1695)
521,5(1678)
522,1(1511)
523,4(2003)
524,4(2003)
525,5(1678)
526,2(1695)
527,5(1678)
528,4(2003)
529,4(2003)
530,5(1678)
531,5(1678)
532,4(2003)
533,3(944)
534,4(2003)
535,5(1678)
536,4(2003)
537,4(2003)
538,1(1511)
539,4(2003)
540,4(2003)
541,2(1695)
542,4(2003)
543,5(1678)
544,4(2003)
545,5(1678)
546,5(1678)
547,1(1511)
548,3(944)
549,1(1511)
550,4(2003)
551,4(2003)
552,2(1695)
553,4(2003)
554,5(1678)
555,5(1678)
556,2(1695)
557,2(1695)
558,3(944)
559,1(1511)
560,4(2003)
561,3(944)
562,5(1678)
563,5(1678)
564,1(1511)
565,5(1678)
566,2(1695)
567,4(2003)
568,4(2003)
569,4(2003)
570,2(1695)
571,5(1678)
572,4(2003)
573,4(2003)
574,5(1678)
575,4(2003)
576,2(1695)
577,1(1511)
578,5(1678)
579,1(1511)
580,5(1678)
581,1(1511)
582,5(1678)
583,1(1511)
584,4(2003)
585,4(2003)
586,1(1511)
587,5(1678)
588,1(1511)
589,4(2003)
590,3(944)
591,2(1695)
592,5(1678)
593,4(2003)
594,2(1695)
595,4(2003)
596,2(1695)
597,4(2003)
598,4(2003)
599,4(2003)
600,5(1678)
601,4(2003)
602,3(944)
603,3(944)
604,4(2003)
605,1(1511)
606,2(1695)
607,1(1511)
608,4(2003)
609,2(1695)
610,5(1678)
611,2(1695)
612,1(1511)
613,1(1511)
614,5(1678)
615,1(1511)
616,3(944)
617,2(1695)
618,3(944)
619,5(1678)
620,2(1695)
621,2(1695)
622,2(1695)
623,1(1511)
624,5(1678)
625,2(1695)
626,1(1511)
627,4(2003)
628,3(944)
629,5(1678)
630,2(1695)
631,5(1678)
632,5(1678)
633,5(1678)
634,2(1695)
635,4(2003)
636,5(1678)
637,5(1678)
638,2(1695)
639,3(944)
640,4(2003)
641,1(1511)
642,5(1678)
643,1(1511)
644,4(2003)
645,5(1678)
646,5(1678)
647,3(944)
648,5(1678)
649,1(1511)
650,4(2003)
651,2(1695)
652,3(944)
653,2(1695)
654,2(1695)
655,1(1511)
656,2(1695)
657,4(2003)
658,4(2003)
659,5(1678)
660,4(2003)
661,3(944)
662,5(1678)
663,1(1511)
664,4(2003)
665,5(1678)
666,1(1511)
667,5(1678)
668,2(1695)
669,2(1695)
670,4(2003)
671,3(944)
672,5(1678)
673,2(1695)
674,3(944)
675,2(1695)
676,2(1695)
677,4(2003)
678,5(1678)
679,4(2003)
680,2(1695)
681,2(1695)
682,5(1678)
683,5(1678)
684,5(1678)
685,5(1678)
686,2(1695)
687,4(2003)
688,1(1511)
689,5(1678)
690,3(944)
691,1(1511)
692,3(944)
693,5(1678)
694,3(944)
695,2(1695)
696,4(2003)
697,4(2003)
698,2(1695)
699,4(2003)
700,2(1695)
701,2(1695)
702,3(944)
703,3(944)
704,5(1678)
705,1(1511)
706,1(1511)
707,5(1678)
708,5(1678)
709,5(1678)
710,1(1511)
711,4(2003)
712,5(1678)
713,3(944)
714,5(1678)
715,1(1511)
716,3(944)
717,2(1695)
718,4(2003)
719,5(1678)
720,4(2003)
721,1(1511)
722,1(1511)
723,1(1511)
724,2(1695)
725,2(1695)
726,2(1695)
727,3(944)
728,3(944)
729,1(1511)
730,2(1695)
731,1(1511)
732,3(944)
733,4(2003)
734,5(1678)
735,2(1695)
736,5(1678)
737,3(944)
738,3(944)
739,5(1678)
740,4(2003)
741,2(1695)
742,2(1695)
743,4(2003)
744,5(1678)
745,5(1678)
746,5(1678)
747,2(1695)
748,5(1678)
749,5(1678)
750,1(1511)
751,1(1511)
752,1(1511)
753,4(2003)
754,1(1511)
755,1(1511)
756,2(1695)
757,4(2003)
758,4(2003)
759,1(1511)
760,4(2003)
761,3(944)
762,2(1695)
763,2(1695)
764,5(1678)
765,4(2003)
766,3(944)
767,3(944)
768,3(944)
769,5(1678)
770,5(1678)
771,3(944)
772,3(944)
773,2(1695)
774,4(2003)
775,1(1511)
776,2(1695)
777,2(1695)
778,4(2003)
779,1(1511)
780,2(1695)
781,4(2003)
782,1(1511)
783,5(1678)
784,4(2003)
785,1(1511)
786,1(1511)
787,5(1678)
788,2(1695)
789,2(1695)
790,1(1511)
791,1(1511)
792,5(1678)
793,5(1678)
794,5(1678)
795,1(1511)
796,2(1695)
797,4(2003)
798,4(2003)
799,5(1678)
800,2(1695)
801,2(1695)
802,3(944)
803,2(1695)
804,1(1511)
805,4(2003)
806,3(944)
807,5(1678)
808,2(1695)
809,3(944)
810,1(1511)
811,1(1511)
812,3(944)
813,1(1511)
814,2(1695)
815,1(1511)
816,5(1678)
817,5(1678)
818,5(1678)
819,2(1695)
820,4(2003)
821,2(1695)
822,4(2003)
823,5(1678)
824,1(1511)
825,1(1511)
826,1(1511)
827,4(2003)
828,2(1695)
829,3(944)
830,5(1678)
831,4(2003)
832,1(1511)
833,1(1511)
834,4(2003)
835,5(1678)
836,4(2003)
837,5(1678)
838,2(1695)
839,3(944)
840,2(1695)
841,4(2003)
842,4(2003)
843,4(2003)
844,4(2003)
845,4(2003)
846,5(1678)
847,2(1695)
848,2(1695)
849,5(1678)
850,4(2003)
851,5(1678)
852,4(2003)
853,5(1678)
854,2(1695)
855,2(1695)
856,2(1695)
857,1(1511)
858,2(1695)
859,1(1511)
860,5(1678)
861,5(1678)
862,4(2003)
863,1(1511)
864,4(2003)
865,4(2003)
866,1(1511)
867,1(1511)
868,2(1695)
869,4(2003)
870,5(1678)
871,4(2003)
872,4(2003)
873,4(2003)
874,2(1695)
875,3(944)
876,4(2003)
877,4(2003)
878,3(944)
879,2(1695)
880,4(2003)
881,2(1695)
882,4(2003)
883,5(1678)
884,2(1695)
885,1(1511)
886,1(1511)
887,5(1678)
888,2(1695)
889,3(944)
890,2(1695)
891,1(1511)
892,2(1695)
893,5(1678)
894,2(1695)
895,5(1678)
896,5(1678)
897,2(1695)
898,5(1678)
899,4(2003)
900,3(944)
901,2(1695)
902,2(1695)
903,3(944)
904,3(944)
905,2(1695)
906,4(2003)
907,2(1695)
908,4(2003)
909,4(2003)
910,5(1678)
911,4(2003)
912,3(944)
913,2(1695)
914,4(2003)
915,4(2003)
916,1(1511)
917,4(2003)
918,3(944)
919,4(2003)
920,1(1511)
921,4(2003)
922,5(1678)
923,4(2003)
924,3(944)
925,5(1678)
926,3(944)
927,1(1511)
928,2(1695)
929,4(2003)
930,1(1511)
931,2(1695)
932,2(1695)
933,4(2003)
934,4(2003)
935,1(1511)
936,1(1511)
937,4(2003)
938,4(2003)
939,4(2003)
940,4(2003)
941,1(1511)
942,4(2003)
943,5(1678)
944,5(1678)
945,5(1678)
946,5(1678)
947,5(1678)
948,5(1678)
949,4(2003)
950,4(2003)
951,3(944)
952,4(2003)
953,4(2003)
954,4(2003)
955,5(1678)
956,2(1695)
957,3(944)
958,2(1695)
959,5(1678)
960,2(1695)
961,2(1695)
962,1(1511)
963,1(1511)
964,1(1511)
965,4(2003)
966,5(1678)
967,2(1695)
968,2(1695)
969,2(1695)
970,2(1695)
971,5(1678)
972,2(1695)
973,4(2003)
974,1(1511)
975,1(1511)
976,3(944)
977,4(2003)
978,4(2003)
979,2(1695)
980,1(1511)
981,2(1695)
982,1(1511)
983,1(1511)
984,2(1695)
985,3(944)
986,2(1695)
987,1(1511)
988,4(2003)
989,3(944)
990,5(1678)
991,5(1678)
992,5(1678)
993,3(944)
994,5(1678)
995,1(1511)
996,2(1695)
997,5(1678)
998,5(1678)
999,4(2003)
1000,4(2003)
1001,5(1678)
1002,4(2003)
1003,1(1511)
1004,4(2003)
1005,2(1695)
1006,2(1695)
1007,1(1511)
1008,1(1511)
1009,5(1678)
1010,2(1695)
1011,2(1695)
1012,4(2003)
1013,4(2003)
1014,4(2003)
1015,3(944)
1016,5(1678)
1017,1(1511)
1018,5(1678)
1019,4(2003)
1020,4(2003)
1021,3(944)
1022,1(1511)
1023,1(1511)
1024,4(2003)
1025,5(1678)
1026,3(944)
1027,5(1678)
1028,2(1695)
1029,3(944)
1030,4(2003)
1031,2(1695)
1032,2(1695)
1033,2(1695)
1034,5(1678)
1035,2(1695)
1036,4(2003)
1037,3(944)
1038,2(1695)
1039,2(1695)
1040,5(1678)
1041,2(1695)
1042,2(1695)
1043,2(1695)
1044,1(1511)
1045,4(2003)
1046,1(1511)
1047,1(1511)
1048,1(1511)
1049,5(1678)
1050,2(1695)
1051,1(1511)
1052,1(1511)
1053,3(944)
1054,2(1695)
1055,5(1678)
1056,2(1695)
1057,4(2003)
1058,2(1695)
1059,4(2003)
1060,2(1695)
1061,1(1511)
1062,4(2003)
1063,3(944)
1064,5(1678)
1065,4(2003)
1066,3(944)
1067,1(1511)
1068,5(1678)
1069,2(1695)
1070,2(1695)
1071,2(1695)
1072,4(2003)
1073,4(2003)
1074,5(1678)
1075,5(1678)
1076,3(944)
1077,1(1511)
1078,5(1678)
1079,1(1511)
1080,1(1511)
1081,3(944)
1082,2(1695)
1083,3(944)
1084,2(1695)
1085,3(944)
1086,2(1695)
1087,4(2003)
1088,2(1695)
1089,2(1695)
1090,2(1695)
1091,2(1695)
1092,2(1695)
1093,4(2003)
1094,1(1511)
1095,2(1695)
1096,2(1695)
1097,2(1695)
1098,3(944)
1099,5(1678)
1100,2(1695)
1101,4(2003)
1102,3(944)
1103,3(944)
1104,2(1695)
1105,3(944)
1106,5(1678)
1107,4(2003)
1108,5(1678)
1109,5(1678)
1110,4(2003)
1111,2(1695)
1112,2(1695)
1113,2(1695)
1114,4(2003)
1115,4(2003)
1116,4(2003)
1117,2(1695)
1118,3(944)
1119,5(1678)
1120,2(1695)
1121,4(2003)
1122,1(1511)
1123,5(1678)
1124,3(944)
1125,5(1678)
1126,5(1678)
1127,5(1678)
1128,5(1678)
1129,2(1695)
1130,1(1511)
1131,2(1695)
1132,3(944)
1133,3(944)
1134,2(1695)
1135,2(1695)
1136,2(1695)
1137,2(1695)
1138,2(1695)
1139,4(2003)
1140,2(1695)
1141,5(1678)
1142,5(1678)
1143,5(1678)
1144,4(2003)
1145,2(1695)
1146,5(1678)
1147,2(1695)
1148,5(1678)
1149,5(1678)
1150,1(1511)
1151,5(1678)
1152,4(2003)
1153,3(944)
1154,3(944)
1155,5(1678)
1156,1(1511)
1157,2(1695)
1158,2(1695)
1159,1(1511)
1160,4(2003)
1161,4(2003)
1162,2(1695)
1163,1(1511)
1164,1(1511)
1165,3(944)
1166,3(944)
1167,5(1678)
1168,1(1511)
1169,1(1511)
1170,5(1678)
1171,4(2003)
1172,4(2003)
1173,1(1511)
1174,3(944)
1175,3(944)
1176,1(1511)
1177,2(1695)
1178,2(1695)
1179,5(1678)
1180,2(1695)
1181,5(1678)
1182,2(1695)
1183,2(1695)
1184,2(1695)
1185,3(944)
1186,2(1695)
1187,2(1695)
1188,4(2003)
1189,4(2003)
1190,4(2003)
1191,1(1511)
1192,4(2003)
1193,4(2003)
1194,1(1511)
1195,4(2003)
1196,4(2003)
1197,1(1511)
1198,5(1678)
1199,3(944)
1200,3(944)
1201,4(2003)
1202,5(1678)
1203,3(944)
1204,4(2003)
1205,2(1695)
1206,4(2003)
1207,4(2003)
1208,2(1695)
1209,5(1678)
1210,5(1678)
1211,4(2003)
1212,4(2003)
1213,3(944)
1214,2(1695)
1215,5(1678)
1216,4(2003)
1217,1(1511)
1218,2(1695)
1219,3(944)
1220,5(1678)
1221,4(2003)
1222,3(944)
1223,5(1678)
1224,4(2003)
1225,1(1511)
1226,1(1511)
1227,2(1695)
1228,5(1678)
1229,2(1695)
1230,4(2003)
1231,4(2003)
1232,2(1695)
1233,3(944)
1234,3(944)
1235,5(1678)
1236,3(944)
1237,5(1678)
1238,5(1678)
1239,5(1678)
1240,4(2003)
1241,2(1695)
1242,3(944)
1243,4(2003)
1244,2(1695)
1245,2(1695)
1246,4(2003)
1247,4(2003)
1248,3(944)
1249,1(1511)
1250,2(1695)
1251,4(2003)
1252,5(1678)
1253,4(2003)
1254,2(1695)
1255,5(1678)
1256,5(1678)
1257,2(1695)
1258,3(944)
1259,4(2003)
1260,2(1695)
1261,1(1511)
1262,2(1695)
1263,5(1678)
1264,4(2003)
1265,2(1695)
1266,1(1511)
1267,4(2003)
1268,1(1511)
1269,4(2003)
1270,5(1678)
1271,2(1695)
1272,5(1678)
1273,1(1511)
1274,3(944)
1275,4(2003)
1276,4(2003)
1277,4(2003)
1278,2(1695)
1279,3(944)
1280,2(1695)
1281,2(1695)
1282,1(1511)
1283,2(1695)
1284,2(1695)
1285,2(1695)
1286,4(2003)
1287,5(1678)
1288,5(1678)
1289,5(1678)
1290,5(1678)
1291,5(1678)
1292,5(1678)
1293,4(2003)
1294,3(944)
1295,5(1678)
1296,2(1695)
1297,4(2003)
1298,1(1511)
1299,1(1511)
1300,3(944)
1301,1(1511)
1302,5(1678)
1303,3(944)
1304,1(1511)
1305,2(1695)
1306,5(1678)
1307,3(944)
1308,1(1511)
1309,5(1678)
1310,2(1695)
1311,2(1695)
1312,4(2003)
1313,4(2003)
1314,4(2003)
1315,1(1511)
1316,2(1695)
1317,2(1695)
1318,1(1511)
1319,4(2003)
1320,2(1695)
1321,4(2003)
1322,1(1511)
1323,3(944)
1324,2(1695)
1325,2(1695)
1326,2(1695)
1327,4(2003)
1328,1(1511)
1329,5(1678)
1330,1(1511)
1331,1(1511)
1332,5(1678)
1333,1(1511)
1334,5(1678)
1335,4(2003)
1336,4(2003)
1337,4(2003)
1338,1(1511)
1339,1(1511)
1340,4(2003)
1341,4(2003)
1342,4(2003)
1343,2(1695)
1344,4(2003)
1345,4(2003)
1346,4(2003)
1347,3(944)
1348,3(944)
1349,4(2003)
1350,3(944)
1351,2(1695)
1352,3(944)
1353,5(1678)
1354,3(944)
1355,3(944)
1356,3(944)
1357,1(1511)
1358,1(1511)
1359,5(1678)
1360,4(2003)
1361,1(1511)
1362,1(1511)
1363,1(1511)
1364,2(1695)
1365,2(1695)
1366,3(944)
1367,3(944)
1368,4(2003)
1369,5(1678)
1370,1(1511)
1371,3(944)
1372,4(2003)
1373,4(2003)
1374,1(1511)
1375,3(944)
1376,4(2003)
1377,4(2003)
1378,1(1511)
1379,1(1511)
1380,1(1511)
1381,1(1511)
1382,1(1511)
1383,1(1511)
1384,1(1511)
1385,5(1678)
1386,4(2003)
1387,1(1511)
1388,3(944)
1389,2(1695)
1390,2(1695)
1391,1(1511)
1392,4(2003)
1393,3(944)
1394,4(2003)
1395,4(2003)
1396,1(1511)
1397,4(2003)
1398,5(1678)
1399,5(1678)
1400,2(1695)
1401,3(944)
1402,5(1678)
1403,4(2003)
1404,2(1695)
1405,4(2003)
1406,4(2003)
1407,4(2003)
1408,2(1695)
1409,4(2003)
1410,3(944)
1411,4(2003)
1412,4(2003)
1413,3(944)
1414,3(944)
1415,4(2003)
1416,4(2003)
1417,4(2003)
1418,4(2003)
1419,2(1695)
1420,1(1511)
1421,5(1678)
1422,5(1678)
1423,2(1695)
1424,1(1511)
1425,2(1695)
1426,5(1678)
1427,1(1511)
1428,5(1678)
1429,5(1678)
1430,1(1511)
1431,1(1511)
1432,5(1678)
1433,1(1511)
1434,2(1695)
1435,1(1511)
1436,2(1695)
1437,1(1511)
1438,3(944)
1439,4(2003)
1440,3(944)
1441,4(2003)
1442,4(2003)
1443,1(1511)
1444,5(1678)
1445,2(1695)
1446,4(2003)
1447,4(2003)
1448,2(1695)
1449,3(944)
1450,4(2003)
1451,5(1678)
1452,5(1678)
1453,4(2003)
1454,2(1695)
1455,1(1511)
1456,3(944)
1457,1(1511)
1458,2(1695)
1459,4(2003)
1460,3(944)
1461,4(2003)
1462,1(1511)
1463,2(1695)
1464,1(1511)
1465,4(2003)
1466,4(2003)
1467,1(1511)
1468,1(1511)
1469,4(2003)
1470,1(1511)
1471,2(1695)
1472,4(2003)
1473,2(1695)
1474,4(2003)
1475,1(1511)
1476,1(1511)
1477,2(1695)
1478,3(944)
1479,1(1511)
1480,1(1511)
1481,1(1511)
1482,1(1511)
1483,5(1678)
1484,5(1678)
1485,2(1695)
1486,2(1695)
1487,3(944)
1488,2(1695)
1489,4(2003)
1490,2(1695)
1491,1(1511)
1492,2(1695)
1493,1(1511)
1494,5(1678)
1495,5(1678)
1496,3(944)
1497,4(2003)
1498,3(944)
1499,5(1678)
1500,3(944)
1501,5(1678)
1502,4(2003)
1503,5(1678)
1504,5(1678)
1505,4(2003)
1506,2(1695)
1507,2(1695)
1508,2(1695)
1509,2(1695)
1510,2(1695)
1511,2(1695)
1512,3(944)
1513,3(944)
1514,3(944)
1515,1(1511)
1516,2(1695)
1517,3(944)
1518,3(944)
1519,5(1678)
1520,4(2003)
1521,4(2003)
1522,4(2003)
1523,4(2003)
1524,4(2003)
1525,4(2003)
1526,1(1511)
1527,1(1511)
1528,4(2003)
1529,1(1511)
1530,4(2003)
1531,4(2003)
1532,5(1678)
1533,1(1511)
1534,5(1678)
1535,2(1695)
1536,3(944)
1537,1(1511)
1538,3(944)
1539,1(1511)
1540,1(1511)
1541,4(2003)
1542,5(1678)
1543,1(1511)
1544,5(1678)
1545,4(2003)
1546,4(2003)
1547,2(1695)
1548,2(1695)
1549,2(1695)
1550,1(1511)
1551,4(2003)
1552,2(1695)
1553,4(2003)
1554,2(1695)
1555,1(1511)
1556,2(1695)
1557,5(1678)
1558,1(1511)
1559,3(944)
1560,4(2003)
1561,2(1695)
1562,2(1695)
1563,2(1695)
1564,4(2003)
1565,2(1695)
1566,2(1695)
1567,2(1695)
1568,4(2003)
1569,4(2003)
1570,2(1695)
1571,1(1511)
1572,3(944)
1573,2(1695)
1574,4(2003)
1575,5(1678)
1576,4(2003)
1577,5(1678)
1578,2(1695)
1579,2(1695)
1580,4(2003)
1581,2(1695)
1582,5(1678)
1583,5(1678)
1584,3(944)
1585,4(2003)
1586,4(2003)
1587,5(1678)
1588,5(1678)
1589,1(1511)
1590,2(1695)
1591,1(1511)
1592,4(2003)
1593,5(1678)
1594,3(944)
1595,1(1511)
1596,1(1511)
1597,4(2003)
1598,4(2003)
1599,4(2003)
1600,4(2003)
1601,4(2003)
1602,4(2003)
1603,2(1695)
1604,5(1678)
1605,5(1678)
1606,5(1678)
1607,4(2003)
1608,2(1695)
1609,4(2003)
1610,4(2003)
1611,1(1511)
1612,1(1511)
1613,5(1678)
1614,4(2003)
1615,5(1678)
1616,4(2003)
1617,2(1695)
1618,2(1695)
1619,3(944)
1620,1(1511)
1621,5(1678)
1622,5(1678)
1623,1(1511)
1624,2(1695)
1625,2(1695)
1626,2(1695)
1627,4(2003)
1628,2(1695)
1629,4(2003)
1630,4(2003)
1631,2(1695)
1632,5(1678)
1633,5(1678)
1634,5(1678)
1635,2(1695)
1636,2(1695)
1637,2(1695)
1638,1(1511)
1639,4(2003)
1640,4(2003)
1641,1(1511)
1642,3(944)
1643,4(2003)
1644,1(1511)
1645,4(2003)
1646,4(2003)
1647,4(2003)
1648,2(1695)
1649,5(1678)
1650,3(944)
1651,4(2003)
1652,1(1511)
1653,1(1511)
1654,1(1511)
1655,1(1511)
1656,1(1511)
1657,2(1695)
1658,3(944)
1659,5(1678)
1660,5(1678)
1661,2(1695)
1662,4(2003)
1663,2(1695)
1664,5(1678)
1665,1(1511)
1666,4(2003)
1667,5(1678)
1668,1(1511)
1669,5(1678)
1670,1(1511)
1671,2(1695)
1672,5(1678)
1673,2(1695)
1674,2(1695)
1675,3(944)
1676,4(2003)
1677,4(2003)
1678,5(1678)
1679,4(2003)
1680,5(1678)
1681,2(1695)
1682,4(2003)
1683,2(1695)
1684,2(1695)
1685,5(1678)
1686,4(2003)
1687,2(1695)
