,Group
184,3(268)
185,4(200)
186,2(305)
187,3(268)
188,5(394)
189,5(394)
190,2(305)
191,5(394)
192,3(268)
193,3(268)
194,5(394)
195,5(394)
196,2(305)
197,2(305)
198,5(394)
199,5(394)
200,2(305)
201,4(200)
202,5(394)
203,3(268)
204,5(394)
205,1(311)
206,3(268)
207,3(268)
208,3(268)
209,2(305)
210,2(305)
211,2(305)
212,2(305)
213,5(394)
214,3(268)
215,3(268)
216,3(268)
217,5(394)
218,2(305)
219,5(394)
220,4(200)
221,4(200)
222,1(311)
223,5(394)
224,2(305)
225,2(305)
226,2(305)
227,1(311)
228,3(268)
229,2(305)
230,2(305)
231,2(305)
232,2(305)
233,4(200)
234,2(305)
235,1(311)
236,3(268)
237,4(200)
238,3(268)
239,4(200)
240,4(200)
241,2(305)
242,3(268)
243,3(268)
244,1(311)
245,5(394)
246,3(268)
247,3(268)
248,2(305)
249,2(305)
250,2(305)
251,2(305)
252,2(305)
253,4(200)
254,4(200)
255,4(200)
256,5(394)
257,5(394)
258,4(200)
259,4(200)
260,4(200)
261,4(200)
262,4(200)
263,5(394)
264,3(268)
265,3(268)
266,3(268)
267,3(268)
268,3(268)
269,3(268)
270,2(305)
271,2(305)
272,2(305)
273,3(268)
274,2(305)
275,2(305)
276,3(268)
277,2(305)
278,4(200)
279,4(200)
280,4(200)
281,4(200)
282,4(200)
283,5(394)
284,3(268)
285,3(268)
286,4(200)
287,5(394)
288,5(394)
289,5(394)
290,5(394)
291,3(268)
292,5(394)
293,3(268)
294,4(200)
295,5(394)
296,3(268)
297,3(268)
298,4(200)
299,5(394)
300,5(394)
301,3(268)
302,3(268)
303,5(394)
304,3(268)
305,1(311)
306,2(305)
307,4(200)
308,4(200)
309,2(305)
310,4(200)
311,3(268)
312,4(200)
313,4(200)
314,2(305)
315,3(268)
316,2(305)
317,2(305)
318,2(305)
319,5(394)
320,2(305)
321,2(305)
322,5(394)
323,4(200)
324,3(268)
325,5(394)
326,2(305)
327,2(305)
328,2(305)
329,4(200)
330,4(200)
331,2(305)
332,5(394)
333,2(305)
334,2(305)
335,1(311)
336,3(268)
337,2(305)
338,2(305)
339,2(305)
340,4(200)
341,5(394)
342,5(394)
343,5(394)
344,5(394)
345,5(394)
346,5(394)
347,5(394)
348,5(394)
349,5(394)
350,1(311)
351,5(394)
352,3(268)
353,5(394)
354,2(305)
355,3(268)
356,5(394)
357,2(305)
358,3(268)
359,2(305)
360,3(268)
361,3(268)
362,5(394)
363,2(305)
364,5(394)
365,5(394)
366,5(394)
367,5(394)
368,5(394)
369,5(394)
370,5(394)
371,5(394)
372,5(394)
373,5(394)
374,5(394)
375,5(394)
376,5(394)
377,5(394)
378,5(394)
379,5(394)
380,5(394)
381,5(394)
382,2(305)
383,3(268)
384,2(305)
385,2(305)
386,3(268)
387,5(394)
388,5(394)
389,5(394)
390,5(394)
391,1(311)
392,5(394)
393,3(268)
394,5(394)
395,3(268)
396,2(305)
397,4(200)
398,1(311)
399,4(200)
400,5(394)
401,5(394)
402,2(305)
403,2(305)
404,3(268)
405,3(268)
406,3(268)
407,5(394)
408,5(394)
409,3(268)
410,1(311)
411,1(311)
412,1(311)
413,1(311)
414,5(394)
415,5(394)
416,1(311)
417,5(394)
418,1(311)
419,1(311)
420,1(311)
421,1(311)
422,1(311)
423,1(311)
424,1(311)
425,1(311)
426,3(268)
427,4(200)
428,2(305)
429,1(311)
430,1(311)
431,5(394)
432,5(394)
433,5(394)
434,5(394)
435,5(394)
436,3(268)
437,2(305)
438,4(200)
439,4(200)
440,2(305)
441,5(394)
442,5(394)
443,2(305)
444,2(305)
445,1(311)
446,1(311)
447,1(311)
448,1(311)
449,1(311)
450,1(311)
451,1(311)
452,1(311)
453,1(311)
454,1(311)
455,1(311)
456,1(311)
457,1(311)
458,1(311)
459,1(311)
460,1(311)
461,1(311)
462,1(311)
463,1(311)
464,1(311)
465,1(311)
466,1(311)
467,1(311)
468,1(311)
469,1(311)
470,1(311)
471,1(311)
472,1(311)
473,1(311)
474,1(311)
475,1(311)
476,1(311)
477,1(311)
478,1(311)
479,1(311)
480,1(311)
481,1(311)
482,1(311)
483,1(311)
484,1(311)
485,1(311)
486,1(311)
487,1(311)
488,2(305)
489,1(311)
490,1(311)
491,1(311)
492,1(311)
493,5(394)
494,5(394)
495,3(268)
496,5(394)
497,1(311)
498,5(394)
499,5(394)
500,5(394)
501,1(311)
502,1(311)
503,2(305)
504,5(394)
505,5(394)
506,5(394)
507,5(394)
508,1(311)
509,1(311)
510,1(311)
511,1(311)
512,1(311)
513,5(394)
514,5(394)
515,5(394)
516,3(268)
517,2(305)
518,3(268)
519,5(394)
520,2(305)
521,2(305)
522,2(305)
523,2(305)
524,2(305)
525,1(311)
526,2(305)
527,2(305)
528,1(311)
529,1(311)
530,1(311)
531,1(311)
532,1(311)
533,1(311)
534,1(311)
535,1(311)
536,1(311)
537,1(311)
538,1(311)
539,2(305)
540,1(311)
541,2(305)
542,3(268)
543,1(311)
544,1(311)
545,1(311)
546,1(311)
547,1(311)
548,1(311)
549,2(305)
550,4(200)
551,2(305)
552,2(305)
553,3(268)
554,4(200)
555,4(200)
556,4(200)
557,4(200)
558,4(200)
559,4(200)
560,3(268)
561,1(311)
562,4(200)
563,4(200)
564,5(394)
565,5(394)
566,4(200)
567,2(305)
568,2(305)
569,2(305)
570,2(305)
571,2(305)
572,2(305)
573,2(305)
574,4(200)
575,4(200)
576,4(200)
577,4(200)
578,4(200)
579,2(305)
580,2(305)
581,2(305)
582,2(305)
583,2(305)
584,2(305)
585,2(305)
586,2(305)
587,2(305)
588,2(305)
589,2(305)
590,4(200)
591,4(200)
592,3(268)
593,4(200)
594,2(305)
595,2(305)
596,2(305)
597,2(305)
598,4(200)
599,5(394)
600,2(305)
601,1(311)
602,2(305)
603,2(305)
604,2(305)
605,2(305)
606,2(305)
607,2(305)
608,2(305)
609,2(305)
610,2(305)
611,2(305)
612,2(305)
613,2(305)
614,2(305)
615,2(305)
616,2(305)
617,2(305)
618,2(305)
619,2(305)
620,2(305)
621,4(200)
622,2(305)
623,4(200)
624,2(305)
625,2(305)
626,4(200)
627,2(305)
628,2(305)
629,2(305)
630,2(305)
631,2(305)
632,2(305)
633,2(305)
634,2(305)
635,2(305)
636,2(305)
637,2(305)
638,2(305)
639,3(268)
640,5(394)
641,2(305)
642,2(305)
643,1(311)
644,5(394)
645,5(394)
646,5(394)
647,2(305)
648,2(305)
649,2(305)
650,2(305)
651,1(311)
652,1(311)
653,5(394)
654,5(394)
655,3(268)
656,4(200)
657,1(311)
658,3(268)
659,5(394)
660,2(305)
661,5(394)
662,2(305)
663,2(305)
664,4(200)
665,3(268)
666,5(394)
667,5(394)
668,5(394)
669,5(394)
670,5(394)
671,5(394)
672,5(394)
673,5(394)
674,5(394)
675,5(394)
676,5(394)
677,5(394)
678,2(305)
679,4(200)
680,5(394)
681,5(394)
682,4(200)
683,3(268)
684,2(305)
685,5(394)
686,3(268)
687,2(305)
688,5(394)
689,4(200)
690,1(311)
691,3(268)
692,5(394)
693,5(394)
694,5(394)
695,5(394)
696,5(394)
697,4(200)
698,2(305)
699,5(394)
700,5(394)
701,5(394)
702,5(394)
703,4(200)
704,4(200)
705,4(200)
706,2(305)
707,4(200)
708,2(305)
709,5(394)
710,5(394)
711,5(394)
712,5(394)
713,5(394)
714,5(394)
715,5(394)
716,5(394)
717,5(394)
718,5(394)
719,5(394)
720,5(394)
721,5(394)
722,3(268)
723,2(305)
724,4(200)
725,1(311)
726,1(311)
727,4(200)
728,4(200)
729,4(200)
730,4(200)
731,3(268)
732,4(200)
733,4(200)
734,4(200)
735,5(394)
736,5(394)
737,5(394)
738,5(394)
739,5(394)
740,1(311)
741,2(305)
742,5(394)
743,5(394)
744,2(305)
745,2(305)
746,4(200)
747,5(394)
748,5(394)
749,5(394)
750,5(394)
751,5(394)
752,5(394)
753,5(394)
754,4(200)
755,4(200)
756,3(268)
757,5(394)
758,5(394)
759,1(311)
760,5(394)
761,1(311)
762,1(311)
763,3(268)
764,1(311)
765,1(311)
766,5(394)
767,5(394)
768,4(200)
769,1(311)
770,5(394)
771,3(268)
772,4(200)
773,4(200)
774,1(311)
775,1(311)
776,3(268)
777,5(394)
778,5(394)
779,5(394)
780,5(394)
781,5(394)
782,5(394)
783,5(394)
784,5(394)
785,4(200)
786,3(268)
787,2(305)
788,2(305)
789,2(305)
790,5(394)
791,5(394)
792,1(311)
793,1(311)
794,3(268)
795,1(311)
796,1(311)
797,1(311)
798,5(394)
799,1(311)
800,4(200)
801,5(394)
802,2(305)
803,2(305)
804,3(268)
805,4(200)
806,5(394)
807,3(268)
808,3(268)
809,3(268)
810,3(268)
811,1(311)
812,2(305)
813,2(305)
814,5(394)
815,1(311)
816,1(311)
817,5(394)
818,4(200)
819,3(268)
820,3(268)
821,3(268)
822,3(268)
823,3(268)
824,3(268)
825,3(268)
826,3(268)
827,3(268)
828,5(394)
829,1(311)
830,2(305)
831,1(311)
832,1(311)
833,1(311)
834,1(311)
835,1(311)
836,2(305)
837,1(311)
838,1(311)
839,1(311)
840,1(311)
841,4(200)
842,3(268)
843,3(268)
844,3(268)
845,5(394)
846,1(311)
847,1(311)
848,1(311)
849,1(311)
850,1(311)
851,1(311)
852,3(268)
853,3(268)
854,3(268)
855,3(268)
856,1(311)
857,1(311)
858,3(268)
859,3(268)
860,3(268)
861,2(305)
862,3(268)
863,3(268)
864,3(268)
865,3(268)
866,3(268)
867,3(268)
868,3(268)
869,3(268)
870,3(268)
871,3(268)
872,3(268)
873,3(268)
874,5(394)
875,3(268)
876,2(305)
877,4(200)
878,1(311)
879,2(305)
880,3(268)
881,1(311)
882,1(311)
883,4(200)
884,2(305)
885,1(311)
886,1(311)
887,1(311)
888,5(394)
889,4(200)
890,5(394)
891,3(268)
892,3(268)
893,3(268)
894,3(268)
895,3(268)
896,3(268)
897,2(305)
898,2(305)
899,2(305)
900,4(200)
901,4(200)
902,1(311)
903,1(311)
904,1(311)
905,1(311)
906,1(311)
907,4(200)
908,5(394)
909,3(268)
910,3(268)
911,3(268)
912,3(268)
913,3(268)
914,3(268)
915,2(305)
916,4(200)
917,4(200)
918,4(200)
919,4(200)
920,2(305)
921,2(305)
922,1(311)
923,1(311)
924,1(311)
925,3(268)
926,4(200)
927,3(268)
928,5(394)
929,5(394)
930,5(394)
931,5(394)
932,2(305)
933,3(268)
934,4(200)
935,2(305)
936,2(305)
937,4(200)
938,4(200)
939,4(200)
940,5(394)
941,3(268)
942,3(268)
943,5(394)
944,3(268)
945,5(394)
946,5(394)
947,4(200)
948,2(305)
949,3(268)
950,4(200)
951,1(311)
952,1(311)
953,1(311)
954,2(305)
955,2(305)
956,3(268)
957,1(311)
958,1(311)
959,1(311)
960,5(394)
961,2(305)
962,1(311)
963,4(200)
964,4(200)
965,5(394)
966,3(268)
967,4(200)
968,3(268)
969,2(305)
970,5(394)
971,5(394)
972,5(394)
973,4(200)
974,3(268)
975,2(305)
976,3(268)
977,5(394)
978,5(394)
979,5(394)
980,5(394)
981,2(305)
982,2(305)
983,5(394)
984,2(305)
985,4(200)
986,2(305)
987,3(268)
988,5(394)
989,4(200)
990,4(200)
991,3(268)
992,3(268)
993,4(200)
994,3(268)
995,4(200)
996,5(394)
997,1(311)
998,3(268)
999,5(394)
1000,5(394)
1001,5(394)
1002,2(305)
1003,5(394)
1004,3(268)
1005,4(200)
1006,4(200)
1007,5(394)
1008,4(200)
1009,5(394)
1010,5(394)
1011,5(394)
1012,2(305)
1013,5(394)
1014,5(394)
1015,4(200)
1016,2(305)
1017,5(394)
1018,3(268)
1019,1(311)
1020,5(394)
1021,2(305)
1022,4(200)
1023,5(394)
1024,5(394)
1025,5(394)
1026,3(268)
1027,4(200)
1028,5(394)
1029,3(268)
1030,3(268)
1031,5(394)
1032,2(305)
1033,5(394)
1034,5(394)
1035,5(394)
1036,3(268)
1037,4(200)
1038,4(200)
1039,2(305)
1040,4(200)
1041,2(305)
1042,2(305)
1043,1(311)
1044,2(305)
1045,5(394)
1046,1(311)
1047,1(311)
1048,5(394)
1049,2(305)
1050,2(305)
1051,2(305)
1052,5(394)
1053,2(305)
1054,2(305)
1055,2(305)
1056,2(305)
1057,5(394)
1058,1(311)
1059,1(311)
1060,1(311)
1061,1(311)
1062,5(394)
1063,5(394)
1064,1(311)
1065,1(311)
1066,5(394)
1067,5(394)
1068,5(394)
1069,5(394)
1070,5(394)
1071,4(200)
1072,4(200)
1073,4(200)
1074,5(394)
1075,4(200)
1076,3(268)
1077,2(305)
1078,4(200)
1079,4(200)
1080,1(311)
1081,2(305)
1082,2(305)
1083,4(200)
1084,3(268)
1085,2(305)
1086,3(268)
1087,3(268)
1088,3(268)
1089,2(305)
1090,2(305)
1091,2(305)
1092,1(311)
1093,1(311)
1094,1(311)
1095,3(268)
1096,2(305)
1097,5(394)
1098,5(394)
1099,1(311)
1100,2(305)
1101,1(311)
1102,3(268)
1103,2(305)
1104,2(305)
1105,5(394)
1106,5(394)
1107,5(394)
1108,5(394)
1109,2(305)
1110,3(268)
1111,5(394)
1112,3(268)
1113,1(311)
1114,1(311)
1115,5(394)
1116,2(305)
1117,2(305)
1118,2(305)
1119,2(305)
1120,2(305)
1121,2(305)
1122,5(394)
1123,1(311)
1124,1(311)
1125,1(311)
1126,5(394)
1127,1(311)
1128,1(311)
1129,1(311)
1130,5(394)
1131,1(311)
1132,1(311)
1133,1(311)
1134,1(311)
1135,2(305)
1136,2(305)
1137,2(305)
1138,2(305)
1139,2(305)
1140,2(305)
1141,2(305)
1142,2(305)
1143,2(305)
1144,2(305)
1145,2(305)
1146,3(268)
1147,5(394)
1148,3(268)
1149,3(268)
1150,4(200)
1151,4(200)
1152,2(305)
1153,3(268)
1154,5(394)
1155,2(305)
1156,4(200)
1157,2(305)
1158,4(200)
1159,5(394)
1160,2(305)
1161,5(394)
1162,5(394)
1163,1(311)
1164,1(311)
1165,2(305)
1166,4(200)
1167,5(394)
1168,3(268)
1169,2(305)
1170,2(305)
1171,2(305)
1172,4(200)
1173,5(394)
1174,4(200)
1175,4(200)
1176,5(394)
1177,1(311)
1178,1(311)
1179,2(305)
1180,2(305)
1181,2(305)
1182,2(305)
1183,2(305)
1184,2(305)
1185,3(268)
1186,5(394)
1187,1(311)
1188,1(311)
1189,1(311)
1190,3(268)
1191,5(394)
1192,5(394)
1193,2(305)
1194,5(394)
1195,5(394)
1196,5(394)
1197,1(311)
1198,2(305)
1199,2(305)
1200,1(311)
1201,4(200)
1202,4(200)
1203,1(311)
1204,1(311)
1205,4(200)
1206,4(200)
1207,5(394)
1208,1(311)
1209,1(311)
1210,1(311)
1211,2(305)
1212,3(268)
1213,2(305)
1214,2(305)
1215,1(311)
1216,1(311)
1217,1(311)
1218,5(394)
1219,1(311)
1220,1(311)
1221,1(311)
1222,1(311)
1223,1(311)
1224,2(305)
1225,2(305)
1226,1(311)
1227,1(311)
1228,1(311)
1229,1(311)
1230,1(311)
1231,5(394)
1232,1(311)
1233,2(305)
1234,1(311)
1235,1(311)
1236,1(311)
1237,1(311)
1238,1(311)
1239,4(200)
1240,1(311)
1241,1(311)
1242,4(200)
1243,1(311)
1244,1(311)
1245,1(311)
1246,1(311)
1247,5(394)
1248,5(394)
1249,1(311)
1250,4(200)
1251,5(394)
1252,5(394)
1253,4(200)
1254,4(200)
1255,3(268)
1256,5(394)
1257,4(200)
1258,3(268)
1259,3(268)
1260,2(305)
1261,2(305)
1262,4(200)
1263,4(200)
1264,1(311)
1265,5(394)
1266,3(268)
1267,5(394)
1268,1(311)
1269,2(305)
1270,2(305)
1271,5(394)
1272,5(394)
1273,3(268)
1274,3(268)
1275,5(394)
1276,5(394)
1277,4(200)
1278,3(268)
1279,2(305)
1280,4(200)
1281,5(394)
1282,5(394)
1283,3(268)
1284,4(200)
1285,3(268)
1286,3(268)
1287,5(394)
1288,2(305)
1289,2(305)
1290,1(311)
1291,4(200)
1292,3(268)
1293,3(268)
1294,3(268)
1295,3(268)
1296,5(394)
1297,1(311)
1298,3(268)
1299,3(268)
1300,5(394)
1301,5(394)
1302,5(394)
1303,1(311)
1304,1(311)
1305,3(268)
1306,1(311)
1307,5(394)
1308,5(394)
1309,5(394)
1310,5(394)
1311,5(394)
1312,5(394)
1313,5(394)
1314,5(394)
1315,5(394)
1316,2(305)
1317,2(305)
1318,2(305)
1319,3(268)
1320,3(268)
1321,5(394)
1322,2(305)
1323,5(394)
1324,4(200)
1325,1(311)
1326,2(305)
1327,5(394)
1328,2(305)
1329,1(311)
1330,3(268)
1331,5(394)
1332,3(268)
1333,4(200)
1334,3(268)
1335,3(268)
1336,5(394)
1337,5(394)
1338,2(305)
1339,1(311)
1340,1(311)
1341,1(311)
1342,2(305)
1343,2(305)
1344,1(311)
1345,2(305)
1346,5(394)
1347,1(311)
1348,1(311)
1349,3(268)
1350,3(268)
1351,3(268)
1352,1(311)
1353,4(200)
1354,3(268)
1355,3(268)
1356,3(268)
1357,2(305)
1358,2(305)
1359,3(268)
1360,3(268)
1361,3(268)
1362,3(268)
1363,3(268)
1364,5(394)
1365,4(200)
1366,4(200)
1367,4(200)
1368,4(200)
1369,5(394)
1370,3(268)
1371,3(268)
1372,3(268)
1373,3(268)
1374,5(394)
1375,5(394)
1376,3(268)
1377,3(268)
1378,3(268)
1379,3(268)
1380,3(268)
1381,2(305)
1382,5(394)
1383,5(394)
1384,3(268)
1385,5(394)
1386,5(394)
1387,5(394)
1388,4(200)
1389,4(200)
1390,5(394)
1391,2(305)
1392,4(200)
1393,2(305)
1394,2(305)
1395,3(268)
1396,5(394)
1397,4(200)
1398,2(305)
1399,4(200)
1400,3(268)
1401,5(394)
1402,4(200)
1403,1(311)
1404,5(394)
1405,1(311)
1406,4(200)
1407,4(200)
1408,5(394)
1409,2(305)
1410,2(305)
1411,3(268)
1412,3(268)
1413,3(268)
1414,3(268)
1415,1(311)
1416,1(311)
1417,1(311)
1418,3(268)
1419,3(268)
1420,2(305)
1421,3(268)
1422,2(305)
1423,3(268)
1424,1(311)
1425,3(268)
1426,4(200)
1427,5(394)
1428,3(268)
1429,4(200)
1430,5(394)
1431,2(305)
1432,4(200)
1433,4(200)
1434,2(305)
1435,4(200)
1436,5(394)
1437,4(200)
1438,4(200)
1439,4(200)
1440,4(200)
1441,4(200)
1442,3(268)
1443,3(268)
1444,2(305)
1445,3(268)
1446,5(394)
1447,3(268)
1448,2(305)
1449,2(305)
1450,4(200)
1451,4(200)
1452,5(394)
1453,5(394)
1454,5(394)
1455,4(200)
1456,5(394)
1457,3(268)
1458,4(200)
1459,1(311)
1460,4(200)
1461,4(200)
1462,4(200)
1463,3(268)
1464,4(200)
1465,4(200)
1466,5(394)
1467,5(394)
1468,2(305)
1469,5(394)
1470,5(394)
1471,1(311)
1472,1(311)
1473,1(311)
1474,5(394)
1475,5(394)
1476,1(311)
1477,2(305)
